date,ticker,name,isin,is_fund,type,quantity,amount_nok,fees_nok,native_price,native_currency,account,realized_gain_nok
2024-10-02,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,BUY,21.0804,4000.0,0.0,189.75,NOK,ASK,
2024-10-14,NO0013023234,Fondsfinans Utbytte B,NO0013023234,True,BUY,0.0087,200.0,0.0,23110.7421,NOK,ASK,
2024-10-14,IE00BMTD2N07,Nordnet Europa Indeks NOK,IE00BMTD2N07,True,BUY,1.6764,300.0,0.0,178.954,NOK,ASK,
2024-10-15,IE00BNNLSM87,Nordnet Teknologi Indeks NOK,IE00BNNLSM87,True,BUY,1.3973,300.0,0.0,214.707,NOK,ASK,
2024-10-15,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,BUY,5.1019,1000.0,0.0,196.004,NOK,ASK,
2024-10-21,IE00BMTD2N07,Nordnet Europa Indeks NOK,IE00BMTD2N07,True,BUY,0.7316,130.0,0.0,177.694,NOK,ASK,
2024-10-22,IE00BNNLSM87,Nordnet Teknologi Indeks NOK,IE00BNNLSM87,True,BUY,13.5655,3000.0,0.0,221.15,NOK,ASK,
2024-10-22,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,BUY,13.6281,2700.0,0.0,198.1199,NOK,ASK,
2024-10-22,NO0013168773,Fondsfinans High Yield B,NO0013168773,True,BUY,0.0347,400.0,0.0,11526.67,NOK,Fondskonto,
2024-10-22,NO0013023234,Fondsfinans Utbytte B,NO0013023234,True,BUY,0.0043,100.0,0.0,23222.3194,NOK,ASK,
2024-10-22,NO0012948878,Heimdal Høyrente N,NO0012948878,True,BUY,4.1797,550.0,0.0,131.5875,NOK,Fondskonto,
2024-10-22,NO0010876469,Storebrand Nordic High Yield N,NO0010876469,True,BUY,0.8774,1000.0,0.0,1139.7054,NOK,Fondskonto,
2024-10-28,VAR.OL,Vår Energi,NO0011202772,False,BUY,25.0,849.02,1.27,33.91,NOK,ASK,
2024-11-04,EQNR.OL,Equinor,NO0010096985,False,BUY,1.0,262.0,1.0,261.0,NOK,ASK,
2024-11-06,VAR.OL,Vår Energi,NO0011202772,False,BUY,11.0,367.3,1.0,33.3,NOK,ASK,
2024-11-21,CP,Canadian Pacific Kansas City,CA13646K1084,False,BUY,5.0,4113.81,49.0,73.4,USD,Aksje og fondskonto,
2024-11-26,NO0010279029,Landkreditt Høyrente A,NO0010279029,True,SELL,16.9808,1842.6,0.0,108.5105,NOK,Fondskonto,51.11
2024-11-29,NO0010876469,Storebrand Nordic High Yield N,NO0010876469,True,BUY,1.6039,1842.6,0.0,1148.8211,NOK,Fondskonto,
2024-12-03,NO0010279029,Landkreditt Høyrente A,NO0010279029,True,SELL,33.9616,3688.91,0.0,108.6199,NOK,Fondskonto,99.07
2024-12-05,NO0012948878,Heimdal Høyrente N,NO0012948878,True,BUY,27.8245,3688.91,0.0,132.5776,NOK,Fondskonto,
2024-12-05,NO0013023234,Fondsfinans Utbytte B,NO0013023234,True,BUY,0.0239,570.0,0.0,23898.6942,NOK,ASK,
2024-12-06,IE00BNNLSM87,Nordnet Teknologi Indeks NOK,IE00BNNLSM87,True,BUY,6.3841,1500.0,0.0,234.958,NOK,ASK,
2024-12-06,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,BUY,14.3896,3000.0,0.0,208.484,NOK,ASK,
2024-12-20,AMZN,Amazon.com,US0231351067,False,BUY,3.0,7574.54,49.0,219.0,USD,Aksje og fondskonto,
2024-12-23,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,BUY,14.5479,2999.98,0.0,206.214,NOK,ASK,
2024-12-23,IE00BNNLSM87,Nordnet Teknologi Indeks NOK,IE00BNNLSM87,True,BUY,12.5578,2999.98,0.0,238.894,NOK,ASK,
2024-12-23,NOVO-B.CO,Novo Nordisk B,DK0062498333,False,BUY,3.0,3005.31,4.5,630.0,DKK,ASK,
2024-12-30,NO0010876469,Storebrand Nordic High Yield N,NO0010876469,True,BUY,1.2365,1285.97,0.0,1039.9995,NOK,Fondskonto,
2024-12-30,NO0010279029,Landkreditt Høyrente A,NO0010279029,True,BUY,2.3278,237.89,0.0,102.1953,NOK,Fondskonto,
2024-12-30,NO0013168773,Fondsfinans High Yield B,NO0013168773,True,BUY,0.0922,987.44,0.0,10706.8892,NOK,Fondskonto,
2024-12-30,NO0012948878,Heimdal Høyrente N,NO0012948878,True,BUY,19.3386,2335.09,0.0,120.7474,NOK,Fondskonto,
2025-01-06,AAPL,Apple,US0378331005,False,SELL,4.0,11007.44,49.0,245.05,USD,Aksje og fondskonto,3176.59
2025-01-08,ASML,ASML Holding,USN070592100,False,BUY,1.0,8507.38,49.0,740.0,USD,Aksje og fondskonto,
2025-02-07,AMZN,Amazon.com,US0231351067,False,BUY,3.0,7804.3,49.0,229.0,USD,Aksje og fondskonto,
2025-02-20,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,SELL,165.4881,34183.72,0.0,206.563,NOK,ASK,5987.46
2025-02-24,NO0010776040,KLP AksjeGlobal Indeks P,NO0010776040,True,BUY,9.6741,34183.51,0.0,3533.5082,NOK,ASK,
2025-02-28,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,SELL,193.0694,39225.72,0.0,203.1689,NOK,ASK,0.0
2025-03-04,NO0010776040,KLP AksjeGlobal Indeks P,NO0010776040,True,BUY,11.3251,39225.52,0.0,3463.5912,NOK,ASK,
2025-03-04,EQNR.OL,Equinor,NO0010096985,False,BUY,4.0,1001.1,1.5,249.9,NOK,ASK,
2025-03-06,AMZN,Amazon.com,US0231351067,False,BUY,6.0,13246.78,49.0,202.0,USD,Aksje og fondskonto,
2025-03-07,AMZN,Amazon.com,US0231351067,False,BUY,3.0,6539.51,49.0,199.0,USD,Aksje og fondskonto,
2025-03-18,NO0010776040,KLP AksjeGlobal Indeks P,NO0010776040,True,BUY,2.4767,8000.72,0.0,3230.394,NOK,ASK,
2025-03-31,MSFT,Microsoft,US5949181045,False,BUY,2.0,7888.13,49.0,371.7,USD,Aksje og fondskonto,
2025-04-02,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,SELL,96.5347,17475.0,0.0,181.023,NOK,ASK,-343.12
2025-04-04,NO0010776040,KLP AksjeGlobal Indeks P,NO0010776040,True,BUY,5.8593,17474.9,0.0,2982.4217,NOK,ASK,
2025-04-04,NOVO-B.CO,Novo Nordisk B,DK0062498333,False,BUY,4.0,2740.13,4.1,440.0,DKK,ASK,
2025-04-04,KOG.OL,KONGSBERG GRUPPEN,NO0003043309,False,SELL,5.0,7913.11,11.89,1585.0,NOK,ASK,3541.56
2025-04-08,GOOGL,Alphabet A,US02079K3059,False,BUY,3.0,4944.57,49.0,149.0,USD,Aksje og fondskonto,
2025-04-11,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,SELL,96.5348,17230.3,0.0,178.488,NOK,ASK,-1519.81
2025-04-15,NO0010776040,KLP AksjeGlobal Indeks P,NO0010776040,True,BUY,5.5383,17230.01,0.0,3111.0647,NOK,ASK,
2025-04-15,NO0013023234,Fondsfinans Utbytte B,NO0013023234,True,BUY,0.0359,892.72,0.0,24866.9125,NOK,ASK,
2025-05-02,NO0013023234,Fondsfinans Utbytte B,NO0013023234,True,BUY,0.0765,1999.69,0.0,26139.7809,NOK,ASK,
2025-05-02,NO0010776040,KLP AksjeGlobal Indeks P,NO0010776040,True,BUY,3.108,9999.99,0.0,3217.4997,NOK,ASK,
2025-05-06,IE00BMTD2N07,Nordnet Europa Indeks NOK,IE00BMTD2N07,True,SELL,69.7438,12077.53,0.0,173.17,NOK,ASK,447.53
2025-05-08,GOOGL,Alphabet A,US02079K3059,False,BUY,3.0,4886.06,49.0,154.0,USD,Aksje og fondskonto,
2025-05-12,NO0012445404,KLP AksjeGlobal Indeks N,NO0012445404,True,BUY,79.3389,128114.65,0.0,,NOK,ASK,
2025-05-12,NO0010776040,KLP AksjeGlobal Indeks P,NO0010776040,True,SELL,37.9815,128114.65,0.0,,NOK,ASK,0.0
2025-05-14,NO0012445388,KLP AksjeEuropa Indeks N,NO0012445388,True,BUY,7.7782,11999.94,0.0,1542.7661,NOK,ASK,
2025-05-20,IE00BNNLSM87,Nordnet Teknologi Indeks NOK,IE00BNNLSM87,True,BUY,9.4881,2000.0,0.0,210.79,NOK,ASK,
2025-05-20,NO0012445388,KLP AksjeEuropa Indeks N,NO0012445388,True,BUY,0.3427,539.98,0.0,1575.6761,NOK,ASK,
2025-05-20,NO0013023234,Fondsfinans Utbytte B,NO0013023234,True,BUY,0.0201,538.37,0.0,26784.4413,NOK,ASK,
2025-05-21,NO0010279029,Landkreditt Høyrente A,NO0010279029,True,BUY,2.392,250.0,0.0,104.5146,NOK,Fondskonto,
2025-05-21,NO0012445404,KLP AksjeGlobal Indeks N,NO0012445404,True,BUY,3.8578,5999.99,0.0,1555.2885,NOK,ASK,
2025-05-21,NO0012445388,KLP AksjeEuropa Indeks N,NO0012445388,True,BUY,0.4795,749.97,0.0,1564.0676,NOK,ASK,
2025-05-21,IE00BNNLSM87,Nordnet Teknologi Indeks NOK,IE00BNNLSM87,True,BUY,4.8898,999.99,0.0,204.506,NOK,ASK,
2025-05-21,NO0012948878,Heimdal Høyrente N,NO0012948878,True,BUY,3.9995,499.99,0.0,125.0142,NOK,Fondskonto,
2025-05-21,NO0013168773,Fondsfinans High Yield B,NO0013168773,True,BUY,0.0448,499.8,0.0,11156.1795,NOK,Fondskonto,
2025-05-21,NO0013023234,Fondsfinans Utbytte B,NO0013023234,True,BUY,0.0277,747.67,0.0,26991.7357,NOK,ASK,
2025-05-21,NO0010876469,Storebrand Nordic High Yield N,NO0010876469,True,BUY,0.2334,249.9,0.0,1070.6785,NOK,Fondskonto,
2025-05-28,ASML,ASML Holding,USN070592100,False,SELL,1.0,7558.59,49.0,750.0,USD,Aksje og fondskonto,8.93
2025-05-28,ASML.AS,ASML HOLDING,NL0010273215,False,BUY,1.0,7609.14,0.0,660.0,EUR,ASK,
2025-05-29,ASML.AS,ASML HOLDING,NL0010273215,False,BUY,1.0,7670.68,0.0,665.0,EUR,ASK,
2025-06-26,NO0012948878,Heimdal Høyrente N,NO0012948878,True,BUY,39.2508,4999.99,0.0,127.3857,NOK,Fondskonto,
2025-06-26,NO0012445404,KLP AksjeGlobal Indeks N,NO0012445404,True,BUY,4.3591,6999.86,0.0,1605.8032,NOK,ASK,
2025-06-26,NO0012445388,KLP AksjeEuropa Indeks N,NO0012445388,True,BUY,0.0965,149.88,0.0,1553.1517,NOK,ASK,
2025-06-26,NO0013168773,Fondsfinans High Yield B,NO0013168773,True,BUY,0.1763,1999.21,0.0,11339.8331,NOK,Fondskonto,
2025-06-26,NO0013023234,Fondsfinans Utbytte B,NO0013023234,True,BUY,0.0254,698.14,0.0,27485.9239,NOK,ASK,
2025-06-27,IE00BNNLSM87,Nordnet Teknologi Indeks NOK,IE00BNNLSM87,True,BUY,0.675,149.98,0.0,222.198,NOK,ASK,
2025-07-17,ASML.AS,ASML HOLDING,NL0010273215,False,BUY,1.0,7702.71,49.0,638.5,EUR,ASK,
2025-07-21,NO0012445388,KLP AksjeEuropa Indeks N,NO0012445388,True,BUY,0.9446,1499.98,0.0,1587.9508,NOK,ASK,
2025-07-21,NO0012445404,KLP AksjeGlobal Indeks N,NO0012445404,True,BUY,3.6236,5999.86,0.0,1655.7727,NOK,ASK,
2025-07-21,IE00BNNLSM87,Nordnet Teknologi Indeks NOK,IE00BNNLSM87,True,BUY,6.4649,1499.99,0.0,232.021,NOK,ASK,
2025-07-21,NO0013023234,Fondsfinans Utbytte B,NO0013023234,True,BUY,0.0357,998.14,0.0,27958.9879,NOK,ASK,
2025-07-22,NDA-SE.ST,Nordea,FI4000297767,False,BUY,10.0,1446.0,2.17,135.9,SEK,ASK,
2025-08-05,NO0012445404,KLP AksjeGlobal Indeks N,NO0012445404,True,BUY,8.9815,14999.97,0.0,1670.0959,NOK,ASK,
2025-08-05,NO0012445388,KLP AksjeEuropa Indeks N,NO0012445388,True,BUY,1.2728,1999.9,0.0,1571.263,NOK,ASK,
2025-08-05,NO0013023234,Fondsfinans Utbytte B,NO0013023234,True,BUY,0.071,1997.41,0.0,28132.5563,NOK,ASK,
2025-08-06,IE00BNNLSM87,Nordnet Teknologi Indeks NOK,IE00BNNLSM87,True,BUY,4.2302,999.99,0.0,236.394,NOK,ASK,
2025-08-12,NO0012445404,KLP AksjeGlobal Indeks N,NO0012445404,True,BUY,11.7736,19999.89,0.0,1698.7064,NOK,ASK,
2025-08-12,NO0012445388,KLP AksjeEuropa Indeks N,NO0012445388,True,BUY,0.1191,189.87,0.0,1594.1941,NOK,ASK,
2025-08-12,NO0013023234,Fondsfinans Utbytte B,NO0013023234,True,BUY,0.0353,998.07,0.0,28274.0312,NOK,ASK,
2025-08-13,IE00BNNLSM87,Nordnet Teknologi Indeks NOK,IE00BNNLSM87,True,BUY,4.1524,999.99,0.0,240.821,NOK,ASK,
2025-09-19,NOVO-B.CO,Novo Nordisk B,DK0062498333,False,SELL,2.0,1232.93,1.85,395.0,DKK,Aksje og fondskonto,-924.11
2025-09-25,NOVO-B.CO,Novo Nordisk B,DK0062498333,False,BUY,2.0,1146.7,1.72,365.5,DKK,ASK,
2025-09-25,EQNR.OL,Equinor,NO0010096985,False,SELL,5.0,1278.08,1.92,256.0,NOK,ASK,-290.02
2025-10-03,CP,Canadian Pacific Kansas City,CA13646K1084,False,SELL,8.0,6108.72,49.0,77.6,USD,Aksje og fondskonto,-307.51
2025-10-03,PROT.OL,Protector Forsikring,NO0010209331,False,BUY,2.0,967.45,1.45,483.0,NOK,ASK,
2025-10-06,NO0012445404,KLP AksjeGlobal Indeks N,NO0012445404,True,BUY,0.5774,999.86,0.0,1731.6617,NOK,ASK,
2025-10-06,NO0012445388,KLP AksjeEuropa Indeks N,NO0012445388,True,BUY,0.1231,199.99,0.0,1624.5773,NOK,ASK,
2025-10-06,IE00BNNLSM87,Nordnet Teknologi Indeks NOK,IE00BNNLSM87,True,BUY,0.4723,119.99,0.0,254.049,NOK,ASK,
2025-10-13,NO0012445404,KLP AksjeGlobal Indeks N,NO0012445404,True,BUY,0.2884,499.89,0.0,1733.3346,NOK,ASK,
2025-10-13,NO0012445388,KLP AksjeEuropa Indeks N,NO0012445388,True,BUY,1.2373,1999.89,0.0,1616.3347,NOK,ASK,
